CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Male,35,85,70
2,Female,43,73,86
3,Male,61,129,11
4,Male,51,100,16
5,Male,27,42,97
6,Female,53,80,73
7,Male,31,56,59
8,Male,48,59,70
9,Male,65,76,80
10,Female,32,71,93
11,Male,25,131,3
12,Male,31,20,20
13,Male,40,42,59
14,Male,57,42,36
15,Female,38,122,19
16,Male,33,58,90
17,Female,62,98,67
18,Female,35,44,19
19,Female,64,76,20
20,Male,41,89,96
21,Female,43,136,71
22,Male,42,133,52
23,Female,62,106,33
24,Female,58,103,40
25,Female,46,117,39
26,Female,32,76,82
27,Female,62,111,1
28,Female,18,15,11
29,Female,42,135,92
30,Female,24,41,57
31,Male,26,76,89
32,Male,41,135,50
33,Female,18,130,23
34,Female,61,91,31
35,Female,25,119,94
36,Male,41,17,42
37,Female,28,117,99
38,Male,68,84,7
39,Male,34,86,16
40,Male,25,41,90
41,Male,52,23,60
42,Male,52,76,2
43,Female,50,51,1
44,Female,22,111,48
45,Female,59,65,12
46,Female,56,120,69
47,Female,58,58,37
48,Male,45,38,32
49,Female,24,93,9
50,Female,26,73,99
51,Male,25,132,19
52,Female,29,46,48
53,Male,51,110,80
54,Female,50,102,3
55,Male,65,119,20
56,Female,40,66,24
57,Female,41,127,54
58,Male,54,76,33
59,Male,52,127,24
60,Male,61,72,75
61,Male,57,66,72
62,Male,39,26,36
63,Male,44,53,38
64,Male,52,16,84
65,Male,18,17,99
66,Female,52,127,89
67,Female,54,115,99
68,Male,64,127,25
69,Female,31,70,93
70,Female,20,95,18
71,Female,18,73,82
72,Female,22,127,66
73,Male,43,16,54
74,Female,31,16,35
75,Male,56,106,80
76,Female,44,68,61
77,Female,26,101,41
78,Female,32,115,100
79,Male,32,110,33
80,Female,43,111,68
81,Male,59,15,33
82,Female,30,33,14
83,Male,68,16,21
84,Female,49,67,48
85,Male,56,58,20
86,Male,66,104,8
87,Female,69,46,7
88,Male,49,84,67
89,Female,21,46,17
90,Female,47,133,33
91,Female,54,82,48
92,Female,40,69,76
93,Female,56,89,59
94,Female,62,70,86
95,Female,32,31,22
96,Female,60,52,30
97,Female,46,38,38
98,Female,53,83,51
99,Female,30,130,54
100,Male,49,112,8
